offering_id,course_id,section_id,required_sessions,session_duration,student_count
OFF0047,C_AIDS_ARD202,AIDS-III_B2,3,1,64
OFF0048,C_AIDS_ARD203,AIDS-III_B2,3,1,64
OFF0049,C_AIDS_ARD204,AIDS-III_B2,3,1,64
OFF0050,C_AIDS_ARD205,AIDS-III_B2,3,1,64
OFF0051,C_AIDS_ARD250,AIDS-III_B2,1,2,31
OFF0052,C_AIDS_ARD250,AIDS-III_B2,1,2,33
OFF0053,C_AIDS_ARD251,AIDS-III_B2,1,2,31
OFF0054,C_AIDS_ARD251,AIDS-III_B2,1,2,33
OFF0055,C_AIDS_ARD252,AIDS-III_B2,1,2,31
OFF0056,C_AIDS_ARD252,AIDS-III_B2,1,2,33
OFF0057,C_AIDS_ARD301,AIDS-V_B2,4,1,64
OFF0058,C_AIDS_ARD302,AIDS-V_B2,4,1,64
OFF0059,C_AIDS_ARD303,AIDS-V_B2,4,1,64
OFF0060,C_AIDS_ARD353,AIDS-V_B2,1,2,31
OFF0061,C_AIDS_ARD353,AIDS-V_B2,1,2,33
OFF0062,C_AIDS_HS301,AIDS-V_B2,2,1,64
OFF0063,C_AIDS_ARD401,AIDS-VII_B2,3,1,58
OFF0064,C_AIDS_ARD402,AIDS-VII_B2,3,1,58
OFF0065,C_AIDS_ARD453,AIDS-VII_B2,1,2,28
OFF0066,C_AIDS_ARD453,AIDS-VII_B2,1,2,30
OFF0067,C_AIML_AR101,AIML-I_B1,3,1,53
OFF0068,C_AIML_AR102,AIML-I_B1,3,1,53
OFF0069,C_AIML_AR103,AIML-I_B1,3,1,53
OFF0070,C_AIML_AR104,AIML-I_B1,3,1,53
OFF0071,C_AIML_AR105,AIML-I_B1,3,1,53
OFF0072,C_AIML_AR106,AIML-I_B1,3,1,53
OFF0073,C_AIML_AR150,AIML-I_B1,1,2,26
OFF0074,C_AIML_AR150,AIML-I_B1,1,2,27
OFF0075,C_AIML_AR151,AIML-I_B1,1,2,26
OFF0076,C_AIML_AR151,AIML-I_B1,1,2,27
OFF0077,C_AIML_AR152,AIML-I_B1,1,2,26
OFF0078,C_AIML_AR152,AIML-I_B1,1,2,27
OFF0079,C_AIML_ARM201,AIML-III_B1,3,1,55
OFF0080,C_AIML_ARM202,AIML-III_B1,3,1,55
OFF0081,C_AIML_ARM203,AIML-III_B1,3,1,55
OFF0082,C_AIML_ARM204,AIML-III_B1,3,1,55
OFF0083,C_AIML_ARM205,AIML-III_B1,3,1,55
OFF0084,C_AIML_ARM250,AIML-III_B1,1,2,27
OFF0085,C_AIML_ARM250,AIML-III_B1,1,2,28
OFF0086,C_AIML_ARM251,AIML-III_B1,1,2,27
OFF0087,C_AIML_ARM251,AIML-III_B1,1,2,28
OFF0088,C_AIML_ARM252,AIML-III_B1,1,2,27
OFF0089,C_AIML_ARM252,AIML-III_B1,1,2,28
OFF0090,C_AIML_ARM301,AIML-V_B1,4,1,62
OFF0091,C_AIML_ARM302,AIML-V_B1,4,1,62
OFF0092,C_AIML_ARM303,AIML-V_B1,4,1,62
OFF0093,C_AIML_ARM353,AIML-V_B1,1,2,30
OFF0094,C_AIML_ARM353,AIML-V_B1,1,2,32
OFF0095,C_AIML_HS301,AIML-V_B1,2,1,62
OFF0096,C_AIML_ARM401,AIML-VII_B1,3,1,53
OFF0097,C_AIML_ARM402,AIML-VII_B1,3,1,53
OFF0098,C_AIML_ARM453,AIML-VII_B1,1,2,26
OFF0099,C_AIML_ARM453,AIML-VII_B1,1,2,27
OFF0100,C_AIML_AR101,AIML-I_B2,3,1,52
OFF0101,C_AIML_AR102,AIML-I_B2,3,1,52
OFF0102,C_AIML_AR103,AIML-I_B2,3,1,52
OFF0103,C_AIML_AR104,AIML-I_B2,3,1,52
OFF0104,C_AIML_AR105,AIML-I_B2,3,1,52
OFF0105,C_AIML_AR106,AIML-I_B2,3,1,52
OFF0106,C_AIML_AR150,AIML-I_B2,1,2,25
OFF0107,C_AIML_AR150,AIML-I_B2,1,2,27
OFF0108,C_AIML_AR151,AIML-I_B2,1,2,25
OFF0109,C_AIML_AR151,AIML-I_B2,1,2,27
OFF0110,C_AIML_AR152,AIML-I_B2,1,2,25
OFF0111,C_AIML_AR152,AIML-I_B2,1,2,27
OFF0112,C_AIML_ARM201,AIML-III_B2,3,1,56
OFF0113,C_AIML_ARM202,AIML-III_B2,3,1,56
OFF0114,C_AIML_ARM203,AIML-III_B2,3,1,56
OFF0115,C_AIML_ARM204,AIML-III_B2,3,1,56
OFF0116,C_AIML_ARM205,AIML-III_B2,3,1,56
OFF0117,C_AIML_ARM250,AIML-III_B2,1,2,27
OFF0118,C_AIML_ARM250,AIML-III_B2,1,2,29
OFF0119,C_AIML_ARM251,AIML-III_B2,1,2,27
OFF0120,C_AIML_ARM251,AIML-III_B2,1,2,29
OFF0121,C_AIML_ARM252,AIML-III_B2,1,2,27
OFF0122,C_AIML_ARM252,AIML-III_B2,1,2,29
OFF0123,C_AIML_ARM301,AIML-V_B2,4,1,57
OFF0124,C_AIML_ARM302,AIML-V_B2,4,1,57
OFF0125,C_AIML_ARM303,AIML-V_B2,4,1,57
OFF0126,C_AIML_ARM353,AIML-V_B2,1,2,28
OFF0127,C_AIML_ARM353,AIML-V_B2,1,2,29
OFF0128,C_AIML_HS301,AIML-V_B2,2,1,57
OFF0129,C_AIML_ARM401,AIML-VII_B2,3,1,52
OFF0130,C_AIML_ARM402,AIML-VII_B2,3,1,52
OFF0131,C_AIML_ARM453,AIML-VII_B2,1,2,25
OFF0132,C_AIML_ARM453,AIML-VII_B2,1,2,27
OFF0133,C_AR_AR101,AR-I_B1,3,1,57
OFF0134,C_AR_AR102,AR-I_B1,3,1,57
OFF0135,C_AR_AR103,AR-I_B1,3,1,57
OFF0136,C_AR_AR104,AR-I_B1,3,1,57
OFF0137,C_AR_AR105,AR-I_B1,3,1,57
OFF0138,C_AR_AR106,AR-I_B1,3,1,57
OFF0139,C_AR_AR150,AR-I_B1,1,2,28
OFF0140,C_AR_AR150,AR-I_B1,1,2,29
OFF0141,C_AR_AR151,AR-I_B1,1,2,28
OFF0142,C_AR_AR151,AR-I_B1,1,2,29
OFF0143,C_AR_AR152,AR-I_B1,1,2,28
OFF0144,C_AR_AR152,AR-I_B1,1,2,29
OFF0145,C_AR_ARA201,AR-III_B1,3,1,62
OFF0146,C_AR_ARA202,AR-III_B1,3,1,62
OFF0147,C_AR_ARA203,AR-III_B1,3,1,62
OFF0148,C_AR_ARA204,AR-III_B1,3,1,62
OFF0149,C_AR_ARA205,AR-III_B1,3,1,62
OFF0150,C_AR_ARA250,AR-III_B1,1,2,30
OFF0151,C_AR_ARA250,AR-III_B1,1,2,32
OFF0152,C_AR_ARA251,AR-III_B1,1,2,30
OFF0153,C_AR_ARA251,AR-III_B1,1,2,32
OFF0154,C_AR_ARA252,AR-III_B1,1,2,30
OFF0155,C_AR_ARA252,AR-III_B1,1,2,32
OFF0156,C_AR_ARA301,AR-V_B1,4,1,64
OFF0157,C_AR_ARA302,AR-V_B1,4,1,64
OFF0158,C_AR_ARA303,AR-V_B1,4,1,64
OFF0159,C_AR_ARA353,AR-V_B1,1,2,31
OFF0160,C_AR_ARA353,AR-V_B1,1,2,33
OFF0161,C_AR_HS301,AR-V_B1,2,1,64
OFF0162,C_AR_ARA401,AR-VII_B1,3,1,59
OFF0163,C_AR_ARA402,AR-VII_B1,3,1,59
OFF0164,C_AR_ARA453,AR-VII_B1,1,2,29
OFF0165,C_AR_ARA453,AR-VII_B1,1,2,30
OFF0166,C_AR_AR101,AR-I_B2,3,1,64
OFF0167,C_AR_AR102,AR-I_B2,3,1,64
OFF0168,C_AR_AR103,AR-I_B2,3,1,64
OFF0169,C_AR_AR104,AR-I_B2,3,1,64
OFF0170,C_AR_AR105,AR-I_B2,3,1,64
OFF0171,C_AR_AR106,AR-I_B2,3,1,64
OFF0172,C_AR_AR150,AR-I_B2,1,2,31
OFF0173,C_AR_AR150,AR-I_B2,1,2,33
OFF0174,C_AR_AR151,AR-I_B2,1,2,31
OFF0175,C_AR_AR151,AR-I_B2,1,2,33
OFF0176,C_AR_AR152,AR-I_B2,1,2,31
OFF0177,C_AR_AR152,AR-I_B2,1,2,33
OFF0178,C_AR_ARA201,AR-III_B2,3,1,55
OFF0179,C_AR_ARA202,AR-III_B2,3,1,55
OFF0180,C_AR_ARA203,AR-III_B2,3,1,55
OFF0181,C_AR_ARA204,AR-III_B2,3,1,55
OFF0182,C_AR_ARA205,AR-III_B2,3,1,55
OFF0183,C_AR_ARA250,AR-III_B2,1,2,27
OFF0184,C_AR_ARA250,AR-III_B2,1,2,28
OFF0185,C_AR_ARA251,AR-III_B2,1,2,27
OFF0186,C_AR_ARA251,AR-III_B2,1,2,28
OFF0187,C_AR_ARA252,AR-III_B2,1,2,27
OFF0188,C_AR_ARA252,AR-III_B2,1,2,28
OFF0189,C_AR_ARA301,AR-V_B2,4,1,54
OFF0190,C_AR_ARA302,AR-V_B2,4,1,54
OFF0191,C_AR_ARA303,AR-V_B2,4,1,54
OFF0192,C_AR_ARA353,AR-V_B2,1,2,26
OFF0193,C_AR_ARA353,AR-V_B2,1,2,28
OFF0194,C_AR_HS301,AR-V_B2,2,1,54
OFF0195,C_AR_ARA401,AR-VII_B2,3,1,56
OFF0196,C_AR_ARA402,AR-VII_B2,3,1,56
OFF0197,C_AR_ARA453,AR-VII_B2,1,2,27
OFF0198,C_AR_ARA453,AR-VII_B2,1,2,29
OFF0199,C_IIOT_AR101,IIOT-I_B1,3,1,54
OFF0200,C_IIOT_AR102,IIOT-I_B1,3,1,54
OFF0201,C_IIOT_AR103,IIOT-I_B1,3,1,54
OFF0202,C_IIOT_AR104,IIOT-I_B1,3,1,54
OFF0203,C_IIOT_AR105,IIOT-I_B1,3,1,54
OFF0204,C_IIOT_AR106,IIOT-I_B1,3,1,54
OFF0205,C_IIOT_AR150,IIOT-I_B1,1,2,26
OFF0206,C_IIOT_AR150,IIOT-I_B1,1,2,28
OFF0207,C_IIOT_AR151,IIOT-I_B1,1,2,26
OFF0208,C_IIOT_AR151,IIOT-I_B1,1,2,28
OFF0209,C_IIOT_AR152,IIOT-I_B1,1,2,26
OFF0210,C_IIOT_AR152,IIOT-I_B1,1,2,28
OFF0211,C_IIOT_ARI201,IIOT-III_B1,3,1,62
OFF0212,C_IIOT_ARI202,IIOT-III_B1,3,1,62
OFF0213,C_IIOT_ARI203,IIOT-III_B1,3,1,62
OFF0214,C_IIOT_ARI204,IIOT-III_B1,3,1,62
OFF0215,C_IIOT_ARI205,IIOT-III_B1,3,1,62
OFF0216,C_IIOT_ARI250,IIOT-III_B1,1,2,30
OFF0217,C_IIOT_ARI250,IIOT-III_B1,1,2,32
OFF0218,C_IIOT_ARI251,IIOT-III_B1,1,2,30
OFF0219,C_IIOT_ARI251,IIOT-III_B1,1,2,32
OFF0220,C_IIOT_ARI252,IIOT-III_B1,1,2,30
OFF0221,C_IIOT_ARI252,IIOT-III_B1,1,2,32
OFF0222,C_IIOT_ARI301,IIOT-V_B1,4,1,53
OFF0223,C_IIOT_ARI302,IIOT-V_B1,4,1,53
OFF0224,C_IIOT_ARI303,IIOT-V_B1,4,1,53
OFF0225,C_IIOT_ARI353,IIOT-V_B1,1,2,26
OFF0226,C_IIOT_ARI353,IIOT-V_B1,1,2,27
OFF0227,C_IIOT_HS301,IIOT-V_B1,2,1,53
OFF0228,C_IIOT_ARI401,IIOT-VII_B1,3,1,53
OFF0229,C_IIOT_ARI402,IIOT-VII_B1,3,1,53
OFF0230,C_IIOT_ARI453,IIOT-VII_B1,1,2,26
OFF0231,C_IIOT_ARI453,IIOT-VII_B1,1,2,27
OFF0232,C_IIOT_AR101,IIOT-I_B2,3,1,64
OFF0233,C_IIOT_AR102,IIOT-I_B2,3,1,64
OFF0234,C_IIOT_AR103,IIOT-I_B2,3,1,64
OFF0235,C_IIOT_AR104,IIOT-I_B2,3,1,64
OFF0236,C_IIOT_AR105,IIOT-I_B2,3,1,64
OFF0237,C_IIOT_AR106,IIOT-I_B2,3,1,64
OFF0238,C_IIOT_AR150,IIOT-I_B2,1,2,31
OFF0239,C_IIOT_AR150,IIOT-I_B2,1,2,33
OFF0240,C_IIOT_AR151,IIOT-I_B2,1,2,31
OFF0241,C_IIOT_AR151,IIOT-I_B2,1,2,33
OFF0242,C_IIOT_AR152,IIOT-I_B2,1,2,31
OFF0243,C_IIOT_AR152,IIOT-I_B2,1,2,33
OFF0244,C_IIOT_ARI201,IIOT-III_B2,3,1,63
OFF0245,C_IIOT_ARI202,IIOT-III_B2,3,1,63
OFF0246,C_IIOT_ARI203,IIOT-III_B2,3,1,63
OFF0247,C_IIOT_ARI204,IIOT-III_B2,3,1,63
OFF0248,C_IIOT_ARI205,IIOT-III_B2,3,1,63
OFF0249,C_IIOT_ARI250,IIOT-III_B2,1,2,31
OFF0250,C_IIOT_ARI250,IIOT-III_B2,1,2,32
OFF0251,C_IIOT_ARI251,IIOT-III_B2,1,2,31
OFF0252,C_IIOT_ARI251,IIOT-III_B2,1,2,32
OFF0253,C_IIOT_ARI252,IIOT-III_B2,1,2,31
OFF0254,C_IIOT_ARI252,IIOT-III_B2,1,2,32
OFF0255,C_IIOT_ARI301,IIOT-V_B2,4,1,59
OFF0256,C_IIOT_ARI302,IIOT-V_B2,4,1,59
OFF0257,C_IIOT_ARI303,IIOT-V_B2,4,1,59
OFF0258,C_IIOT_ARI353,IIOT-V_B2,1,2,29
OFF0259,C_IIOT_ARI353,IIOT-V_B2,1,2,30
OFF0260,C_IIOT_HS301,IIOT-V_B2,2,1,59
OFF0261,C_IIOT_ARI401,IIOT-VII_B2,3,1,61
OFF0262,C_IIOT_ARI402,IIOT-VII_B2,3,1,61
OFF0263,C_IIOT_ARI453,IIOT-VII_B2,1,2,30
OFF0264,C_IIOT_ARI453,IIOT-VII_B2,1,2,31
OFF0265,C_AIDS_OAEV1,AIDS-V_B1,2,1,20
OFF0266,C_AIDS_OAEV2,AIDS-V_B1,2,1,19
OFF0267,C_AIDS_PCEV1,AIDS-V_B1,2,1,20
OFF0268,C_AIDS_PCEV2,AIDS-V_B1,2,1,19
OFF0269,C_AIDS_OAEV1,AIDS-V_B2,2,1,25
OFF0270,C_AIDS_OAEV2,AIDS-V_B2,2,1,24
OFF0271,C_AIDS_PCEV1,AIDS-V_B2,2,1,25
OFF0272,C_AIDS_PCEV2,AIDS-V_B2,2,1,24
OFF0273,C_AIML_OAEV1,AIML-V_B1,2,1,24
OFF0274,C_AIML_OAEV2,AIML-V_B1,2,1,23
OFF0275,C_AIML_PCEV1,AIML-V_B1,2,1,24
OFF0276,C_AIML_PCEV2,AIML-V_B1,2,1,23
OFF0277,C_AIML_OAEV1,AIML-V_B2,2,1,21
OFF0278,C_AIML_OAEV2,AIML-V_B2,2,1,21
OFF0279,C_AIML_PCEV1,AIML-V_B2,2,1,21
OFF0280,C_AIML_PCEV2,AIML-V_B2,2,1,21
OFF0281,C_AR_OAEV1,AR-V_B1,2,1,25
OFF0282,C_AR_OAEV2,AR-V_B1,2,1,24
OFF0283,C_AR_PCEV1,AR-V_B1,2,1,25
OFF0284,C_AR_PCEV2,AR-V_B1,2,1,24
OFF0285,C_AR_OAEV1,AR-V_B2,2,1,20
OFF0286,C_AR_OAEV2,AR-V_B2,2,1,19
OFF0287,C_AR_PCEV1,AR-V_B2,2,1,20
OFF0288,C_AR_PCEV2,AR-V_B2,2,1,19
OFF0289,C_IIOT_OAEV1,IIOT-V_B1,2,1,19
OFF0290,C_IIOT_OAEV2,IIOT-V_B1,2,1,19
OFF0291,C_IIOT_PCEV1,IIOT-V_B1,2,1,19
OFF0292,C_IIOT_PCEV2,IIOT-V_B1,2,1,19
OFF0293,C_IIOT_OAEV1,IIOT-V_B2,2,1,22
OFF0294,C_IIOT_OAEV2,IIOT-V_B2,2,1,22
OFF0295,C_IIOT_PCEV1,IIOT-V_B2,2,1,22
OFF0296,C_IIOT_PCEV2,IIOT-V_B2,2,1,22
OFF0297,C_AIDS_OAEVII1,AIDS-VII_B1,2,1,21
OFF0298,C_AIDS_OAEVII2,AIDS-VII_B1,2,1,21
OFF0299,C_AIDS_PCEVII1,AIDS-VII_B1,2,1,21
OFF0300,C_AIDS_PCEVII2,AIDS-VII_B1,2,1,21
OFF0301,C_AIDS_OAEVII1,AIDS-VII_B2,2,1,22
OFF0302,C_AIDS_OAEVII2,AIDS-VII_B2,2,1,21
OFF0303,C_AIDS_PCEVII1,AIDS-VII_B2,2,1,22
OFF0304,C_AIDS_PCEVII2,AIDS-VII_B2,2,1,21
OFF0305,C_AIML_OAEVII1,AIML-VII_B1,2,1,19
OFF0306,C_AIML_OAEVII2,AIML-VII_B1,2,1,19
OFF0307,C_AIML_PCEVII1,AIML-VII_B1,2,1,19
OFF0308,C_AIML_PCEVII2,AIML-VII_B1,2,1,19
OFF0309,C_AIML_OAEVII1,AIML-VII_B2,2,1,19
OFF0310,C_AIML_OAEVII2,AIML-VII_B2,2,1,18
OFF0311,C_AIML_PCEVII1,AIML-VII_B2,2,1,19
OFF0312,C_AIML_PCEVII2,AIML-VII_B2,2,1,18
OFF0313,C_AR_OAEVII1,AR-VII_B1,2,1,22
OFF0314,C_AR_OAEVII2,AR-VII_B1,2,1,22
OFF0315,C_AR_PCEVII1,AR-VII_B1,2,1,22
OFF0316,C_AR_PCEVII2,AR-VII_B1,2,1,22
OFF0317,C_AR_OAEVII1,AR-VII_B2,2,1,21
OFF0318,C_AR_OAEVII2,AR-VII_B2,2,1,20
OFF0319,C_AR_PCEVII1,AR-VII_B2,2,1,21
OFF0320,C_AR_PCEVII2,AR-VII_B2,2,1,20
OFF0321,C_IIOT_OAEVII1,IIOT-VII_B1,2,1,19
OFF0322,C_IIOT_OAEVII2,IIOT-VII_B1,2,1,19
OFF0323,C_IIOT_PCEVII1,IIOT-VII_B1,2,1,19
OFF0324,C_IIOT_PCEVII2,IIOT-VII_B1,2,1,19
OFF0325,C_IIOT_OAEVII1,IIOT-VII_B2,2,1,23
OFF0326,C_IIOT_OAEVII2,IIOT-VII_B2,2,1,23
OFF0327,C_IIOT_PCEVII1,IIOT-VII_B2,2,1,23
OFF0328,C_IIOT_PCEVII2,IIOT-VII_B2,2,1,23
