course_id,course_code,course_name,department_id,course_type,course_category,credits,weekly_hours,sessions_per_week,session_duration,requires_lab,required_room_type,min_room_capacity,equipment_required
C_AIML_ARM203,ARM-203,AI & Machine Learning Systems Design,D_AIML,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_ARM204,ARM-204,Discrete Mathematics,D_AIML,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_ARM205,ARM-205,Professional Ethics,D_AIML,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_ARM250,ARM-250,AI & Machine Learning Programming Lab,D_AIML,LAB,CORE,2,2,1,2,True,AIML_COM_LAB,34,
C_AIML_ARM251,ARM-251,AI & Machine Learning Systems Lab,D_AIML,LAB,CORE,2,2,1,2,True,AIML_ELE_LAB,34,
C_AIML_ARM252,ARM-252,AI & Machine Learning Design Lab,D_AIML,LAB,CORE,2,2,1,2,True,AIML_PHY_LAB,34,
C_AIML_ARM301,ARM-301,AI & Machine Learning Advanced Topics I,D_AIML,THEORY,CORE,3,4,4,1,False,AIML_CLASSROOM,68,
C_AIML_ARM302,ARM-302,AI & Machine Learning Advanced Topics II,D_AIML,THEORY,CORE,3,4,4,1,False,AIML_CLASSROOM,68,
C_AIML_ARM303,ARM-303,AI & Machine Learning Analysis & Methods,D_AIML,THEORY,CORE,3,4,4,1,False,AIML_CLASSROOM,68,
C_AIML_ARM353,ARM-353,AI & Machine Learning Applied Lab,D_AIML,LAB,CORE,2,2,1,2,True,AIML_COM_LAB,34,
C_AIML_HS301,HSAIML-301,Humanities & Management Elective,D_COMMON,THEORY,CORE,3,2,2,1,False,AIML_CLASSROOM,68,
C_AIML_OAEV1,OAE-1,Environmental Sustainability,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AIML_CLASSROOM,28,
C_AIML_OAEV2,OAE-2,Entrepreneurship Basics,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AIML_CLASSROOM,28,
C_AIML_PCEV1,ARM-PCE-V1,AI & Machine Learning Professional Elective A,D_AIML,THEORY,ELECTIVE,3,2,2,1,False,AIML_CLASSROOM,28,
C_AIML_PCEV2,ARM-PCE-V2,AI & Machine Learning Professional Elective B,D_AIML,THEORY,ELECTIVE,3,2,2,1,False,AIML_CLASSROOM,28,
C_AIML_ARM401,ARM-401,AI & Machine Learning Capstone Theory I,D_AIML,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_ARM402,ARM-402,AI & Machine Learning Capstone Theory II,D_AIML,THEORY,CORE,3,3,3,1,False,AIML_CLASSROOM,68,
C_AIML_ARM453,ARM-453,AI & Machine Learning Capstone Lab,D_AIML,LAB,CORE,2,2,1,2,True,AIML_COM_LAB,34,
C_AIML_OAEVII1,OAE-4,Social Media Analytics,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AIML_CLASSROOM,28,
C_AIML_OAEVII2,OAE-5,Mobile App Development,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AIML_CLASSROOM,28,
C_AIML_PCEVII1,ARM-PCE-VII1,AI & Machine Learning Capstone Elective A,D_AIML,THEORY,ELECTIVE,3,2,2,1,False,AIML_CLASSROOM,28,
C_AIML_PCEVII2,ARM-PCE-VII2,AI & Machine Learning Capstone Elective B,D_AIML,THEORY,ELECTIVE,3,2,2,1,False,AIML_CLASSROOM,28,
C_AR_AR101,AR-101,Mathematics I,D_COMMON,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_AR102,AR-102,Applied Physics,D_COMMON,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_AR103,AR-103,Programming Fundamentals,D_COMMON,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_AR104,AR-104,Engineering Graphics,D_COMMON,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_AR105,AR-105,Communication Skills,D_COMMON,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_AR106,AR-106,Environmental Science,D_COMMON,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_AR150,AR-150,Programming Lab,D_COMMON,LAB,CORE,2,2,1,2,True,AR_COM_LAB,34,
C_AR_AR151,AR-151,Electronics Workshop,D_COMMON,LAB,CORE,2,2,1,2,True,AR_ELE_LAB,34,
C_AR_AR152,AR-152,Physics Lab,D_COMMON,LAB,CORE,2,2,1,2,True,AR_PHY_LAB,34,
C_AR_ARA201,ARA-201,Robotics Core Principles I,D_AR,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_ARA202,ARA-202,Data Structures & Algorithms,D_AR,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_ARA203,ARA-203,Robotics Systems Design,D_AR,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_ARA204,ARA-204,Discrete Mathematics,D_AR,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_ARA205,ARA-205,Professional Ethics,D_AR,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_ARA250,ARA-250,Robotics Programming Lab,D_AR,LAB,CORE,2,2,1,2,True,AR_COM_LAB,34,
C_AR_ARA251,ARA-251,Robotics Systems Lab,D_AR,LAB,CORE,2,2,1,2,True,AR_ELE_LAB,34,
C_AR_ARA252,ARA-252,Robotics Design Lab,D_AR,LAB,CORE,2,2,1,2,True,AR_PHY_LAB,34,
C_AR_ARA301,ARA-301,Robotics Advanced Topics I,D_AR,THEORY,CORE,3,4,4,1,False,AR_CLASSROOM,68,
C_AR_ARA302,ARA-302,Robotics Advanced Topics II,D_AR,THEORY,CORE,3,4,4,1,False,AR_CLASSROOM,68,
C_AR_ARA303,ARA-303,Robotics Analysis & Methods,D_AR,THEORY,CORE,3,4,4,1,False,AR_CLASSROOM,68,
C_AR_ARA353,ARA-353,Robotics Applied Lab,D_AR,LAB,CORE,2,2,1,2,True,ROB_LAB,34,
C_AR_HS301,HSAR-301,Humanities & Management Elective,D_COMMON,THEORY,CORE,3,2,2,1,False,AR_CLASSROOM,68,
C_AR_OAEV1,OAE-1,Environmental Sustainability,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AR_CLASSROOM,28,
C_AR_OAEV2,OAE-2,Entrepreneurship Basics,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AR_CLASSROOM,28,
C_AR_PCEV1,ARA-PCE-V1,Robotics Professional Elective A,D_AR,THEORY,ELECTIVE,3,2,2,1,False,AR_CLASSROOM,28,
C_AR_PCEV2,ARA-PCE-V2,Robotics Professional Elective B,D_AR,THEORY,ELECTIVE,3,2,2,1,False,AR_CLASSROOM,28,
C_AR_ARA401,ARA-401,Robotics Capstone Theory I,D_AR,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_ARA402,ARA-402,Robotics Capstone Theory II,D_AR,THEORY,CORE,3,3,3,1,False,AR_CLASSROOM,68,
C_AR_ARA453,ARA-453,Robotics Capstone Lab,D_AR,LAB,CORE,2,2,1,2,True,ROB_LAB,34,
C_AR_OAEVII1,OAE-4,Social Media Analytics,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AR_CLASSROOM,28,
C_AR_OAEVII2,OAE-5,Mobile App Development,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,AR_CLASSROOM,28,
C_AR_PCEVII1,ARA-PCE-VII1,Robotics Capstone Elective A,D_AR,THEORY,ELECTIVE,3,2,2,1,False,AR_CLASSROOM,28,
C_AR_PCEVII2,ARA-PCE-VII2,Robotics Capstone Elective B,D_AR,THEORY,ELECTIVE,3,2,2,1,False,AR_CLASSROOM,28,
C_IIOT_AR101,AR-101,Mathematics I,D_COMMON,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_AR102,AR-102,Applied Physics,D_COMMON,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_AR103,AR-103,Programming Fundamentals,D_COMMON,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_AR104,AR-104,Engineering Graphics,D_COMMON,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_AR105,AR-105,Communication Skills,D_COMMON,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_AR106,AR-106,Environmental Science,D_COMMON,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_AR150,AR-150,Programming Lab,D_COMMON,LAB,CORE,2,2,1,2,True,IIOT_COM_LAB,34,
C_IIOT_AR151,AR-151,Electronics Workshop,D_COMMON,LAB,CORE,2,2,1,2,True,IIOT_ELE_LAB,34,
C_IIOT_AR152,AR-152,Physics Lab,D_COMMON,LAB,CORE,2,2,1,2,True,IIOT_PHY_LAB,34,
C_IIOT_ARI201,ARI-201,Industrial IoT Core Principles I,D_IIOT,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI202,ARI-202,Data Structures & Algorithms,D_IIOT,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI203,ARI-203,Industrial IoT Systems Design,D_IIOT,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI204,ARI-204,Discrete Mathematics,D_IIOT,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI205,ARI-205,Professional Ethics,D_IIOT,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI250,ARI-250,Industrial IoT Programming Lab,D_IIOT,LAB,CORE,2,2,1,2,True,IIOT_COM_LAB,34,
C_IIOT_ARI251,ARI-251,Industrial IoT Systems Lab,D_IIOT,LAB,CORE,2,2,1,2,True,IIOT_ELE_LAB,34,
C_IIOT_ARI252,ARI-252,Industrial IoT Design Lab,D_IIOT,LAB,CORE,2,2,1,2,True,IIOT_PHY_LAB,34,
C_IIOT_ARI301,ARI-301,Industrial IoT Advanced Topics I,D_IIOT,THEORY,CORE,3,4,4,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI302,ARI-302,Industrial IoT Advanced Topics II,D_IIOT,THEORY,CORE,3,4,4,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI303,ARI-303,Industrial IoT Analysis & Methods,D_IIOT,THEORY,CORE,3,4,4,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI353,ARI-353,Industrial IoT Applied Lab,D_IIOT,LAB,CORE,2,2,1,2,True,IIOT_LAB,34,
C_IIOT_HS301,HSIIOT-301,Humanities & Management Elective,D_COMMON,THEORY,CORE,3,2,2,1,False,IIOT_CLASSROOM,68,
C_IIOT_OAEV1,OAE-1,Environmental Sustainability,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,IIOT_CLASSROOM,28,
C_IIOT_OAEV2,OAE-2,Entrepreneurship Basics,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,IIOT_CLASSROOM,28,
C_IIOT_PCEV1,ARI-PCE-V1,Industrial IoT Professional Elective A,D_IIOT,THEORY,ELECTIVE,3,2,2,1,False,IIOT_CLASSROOM,28,
C_IIOT_PCEV2,ARI-PCE-V2,Industrial IoT Professional Elective B,D_IIOT,THEORY,ELECTIVE,3,2,2,1,False,IIOT_CLASSROOM,28,
C_IIOT_ARI401,ARI-401,Industrial IoT Capstone Theory I,D_IIOT,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI402,ARI-402,Industrial IoT Capstone Theory II,D_IIOT,THEORY,CORE,3,3,3,1,False,IIOT_CLASSROOM,68,
C_IIOT_ARI453,ARI-453,Industrial IoT Capstone Lab,D_IIOT,LAB,CORE,2,2,1,2,True,IIOT_LAB,34,
C_IIOT_OAEVII1,OAE-4,Social Media Analytics,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,IIOT_CLASSROOM,28,
C_IIOT_OAEVII2,OAE-5,Mobile App Development,D_COMMON,THEORY,ELECTIVE,3,2,2,1,False,IIOT_CLASSROOM,28,
C_IIOT_PCEVII1,ARI-PCE-VII1,Industrial IoT Capstone Elective A,D_IIOT,THEORY,ELECTIVE,3,2,2,1,False,IIOT_CLASSROOM,28,
C_IIOT_PCEVII2,ARI-PCE-VII2,Industrial IoT Capstone Elective B,D_IIOT,THEORY,ELECTIVE,3,2,2,1,False,IIOT_CLASSROOM,28,
