offering_id_a,offering_id_b,reason
OFF0209,OFF0210,"lab sub-batch (parallel groups, same section)"
OFF0216,OFF0217,"lab sub-batch (parallel groups, same section)"
OFF0218,OFF0219,"lab sub-batch (parallel groups, same section)"
OFF0220,OFF0221,"lab sub-batch (parallel groups, same section)"
OFF0225,OFF0226,"lab sub-batch (parallel groups, same section)"
OFF0230,OFF0231,"lab sub-batch (parallel groups, same section)"
OFF0238,OFF0239,"lab sub-batch (parallel groups, same section)"
OFF0240,OFF0241,"lab sub-batch (parallel groups, same section)"
OFF0242,OFF0243,"lab sub-batch (parallel groups, same section)"
OFF0249,OFF0250,"lab sub-batch (parallel groups, same section)"
OFF0251,OFF0252,"lab sub-batch (parallel groups, same section)"
OFF0253,OFF0254,"lab sub-batch (parallel groups, same section)"
OFF0258,OFF0259,"lab sub-batch (parallel groups, same section)"
OFF0263,OFF0264,"lab sub-batch (parallel groups, same section)"
OFF0265,OFF0266,"lab sub-batch (parallel groups, same section)"
OFF0267,OFF0268,"lab sub-batch (parallel groups, same section)"
OFF0269,OFF0270,"lab sub-batch (parallel groups, same section)"
OFF0271,OFF0272,"lab sub-batch (parallel groups, same section)"
OFF0273,OFF0274,"lab sub-batch (parallel groups, same section)"
OFF0275,OFF0276,"lab sub-batch (parallel groups, same section)"
OFF0277,OFF0278,"lab sub-batch (parallel groups, same section)"
OFF0279,OFF0280,"lab sub-batch (parallel groups, same section)"
OFF0281,OFF0282,"lab sub-batch (parallel groups, same section)"
OFF0283,OFF0284,"lab sub-batch (parallel groups, same section)"
OFF0285,OFF0286,"lab sub-batch (parallel groups, same section)"
OFF0287,OFF0288,"lab sub-batch (parallel groups, same section)"
OFF0289,OFF0290,"lab sub-batch (parallel groups, same section)"
OFF0291,OFF0292,"lab sub-batch (parallel groups, same section)"
OFF0293,OFF0294,"lab sub-batch (parallel groups, same section)"
OFF0295,OFF0296,"lab sub-batch (parallel groups, same section)"
OFF0297,OFF0298,"lab sub-batch (parallel groups, same section)"
OFF0299,OFF0300,"lab sub-batch (parallel groups, same section)"
OFF0301,OFF0302,"lab sub-batch (parallel groups, same section)"
OFF0303,OFF0304,"lab sub-batch (parallel groups, same section)"
OFF0305,OFF0306,"lab sub-batch (parallel groups, same section)"
OFF0307,OFF0308,"lab sub-batch (parallel groups, same section)"
OFF0309,OFF0310,"lab sub-batch (parallel groups, same section)"
OFF0311,OFF0312,"lab sub-batch (parallel groups, same section)"
OFF0313,OFF0314,"lab sub-batch (parallel groups, same section)"
OFF0315,OFF0316,"lab sub-batch (parallel groups, same section)"
OFF0317,OFF0318,"lab sub-batch (parallel groups, same section)"
OFF0319,OFF0320,"lab sub-batch (parallel groups, same section)"
OFF0321,OFF0322,"lab sub-batch (parallel groups, same section)"
OFF0323,OFF0324,"lab sub-batch (parallel groups, same section)"
OFF0325,OFF0326,"lab sub-batch (parallel groups, same section)"
OFF0327,OFF0328,"lab sub-batch (parallel groups, same section)"
